,pvals,direction,sig,logdiff
Fam26f,0.0010092164692231433,UP,-4.43143635784591,1.4299715906354018
Apobec3,0.0006518977554442919,UP,-4.698334702879181,1.0800368626901968
Galnt6,0.014587237521976376,UP,-2.8945268979219163,2.0608238573027227
Ang,0.02641929392940409,DOWN,2.562106521969728,-0.46565664624144193
Tap1,0.003032074930510615,UP,-3.7828467514696236,1.4060488606202164
Tgm1,0.0011324795085608118,UP,-4.362020358633506,2.4029141776388383
A130010J15Rik,0.02953082672162984,DOWN,2.499533936679484,-1.211097516982953
4930523C07Rik,0.0021284245928192163,UP,-3.9882822902242525,2.047669668851957
Nrip2,0.029025533198928442,UP,-2.5092423739959044,0.7207547697919345
Dennd4a,0.024558701462129604,UP,-2.603080856607847,0.6426459997757368
Mefv,9.917019767771548e-06,UP,-7.654275893232229,3.6437192274852856
Stra6,0.00046099112219864156,UP,-4.914335424184516,1.6566608881530756
Upp1,0.0002507902821599949,UP,-5.304198350295351,2.8577159771694634
Irf9,0.0069491867101924626,UP,-3.310351969884354,0.7312577758442002
B3gnt5,0.041846101832359026,UP,-2.3025183568921523,1.9116186124282075
Irf1,0.0004359116746735319,UP,-4.9495929524281115,1.1388568123413325
Ppm1b,0.04953801490080312,DOWN,2.206298349406092,-1.0917468544440827
Igfbp7,0.021712967440997887,UP,-2.6720858730155004,1.5879032211178292
Ddx24,0.017080311090766003,UP,-2.8063287913121635,0.41800605648938144
Cln3,0.04888285061849433,DOWN,2.21391495193403,-0.929012579901729
Cables1,0.014602196456227129,UP,-2.8939539297739274,0.8529738690900928
Iigp1,0.002117548793445406,UP,-3.991276698675302,4.294477722776787
Dem1,0.013365419729807386,DOWN,2.943433736794371,-1.2491168308943812
Hif3a,0.010777782775526448,UP,-3.063841216231405,3.9453474498823446
Dhx57,0.034597324260114325,DOWN,2.410279584730574,-0.6323107710447258
Stat5a,0.016845983392418083,UP,-2.814051352766782,1.0930738775222641
Sell,0.0029797068847963403,UP,-3.7928994222345427,1.683518844481022
Smad5,0.018907119781193128,DOWN,2.7495127761017524,-0.7618241342886168
Fam190a,0.03954239322850279,UP,-2.3346672223322376,1.6269396823769373
Ankrd33b,0.009529479855041881,UP,-3.132828033880106,2.063334180716096
Kcnk13,0.012884478634985402,DOWN,2.963927841338985,-0.9456127856551263
Fancg,0.00738315382999556,DOWN,3.276220995538161,-1.4524588062531056
Lpar5,0.0068661772570372415,DOWN,3.3171276826562233,-1.4294099370429554
Cdc42ep4,0.01795097040302927,UP,-2.7785323029039346,0.9260367194154209
Pxmp3,0.02550884517369893,DOWN,2.581788974448404,-0.6089567868333973
Lix1l,0.000777272496069542,UP,-4.590198857112215,2.015501462575156
Clec4d,0.0003895140053782036,UP,-5.020862749341657,3.8076877663425015
Cyth3,0.004132647301127946,UP,-3.605128258416752,0.9002946167676609
Adam33,0.00784482282937286,DOWN,3.2420854069117686,-2.660755667871864
Fam102b,0.042236127925888996,DOWN,2.2972449356908786,-0.647392761664208
1700040I03Rik,0.006229253407561089,DOWN,3.3720801619095333,-1.3445591405835555
Sema4a,0.014992866948543945,UP,-2.8791947681908403,1.1268556346728171
Mttp,0.0013574067916475772,UP,-4.253645079838121,1.089701640897108
Rhpn1,0.02565515354766986,UP,-2.578579878256029,1.6995367936612515
Slc11a2,0.00589685935113449,UP,-3.403085628570504,1.5739135882840753
Isg20,0.02625424399889745,UP,-2.5656246460743968,3.795483191585737
Lair1,0.04723865761389876,DOWN,2.2334678488209283,-0.3687379582229945
Pdlim7,0.00892141239610428,UP,-3.1698239879350614,1.881034640581967
BC031353,0.024316667578081222,DOWN,2.6086343113441095,-0.6656923161795476
Fxr1,0.04217050577610783,DOWN,2.2981289023843705,-0.29438455147483905
Tbc1d14,0.020228950255162054,UP,-2.7117105345746157,0.6627687514140821
Schip1,0.009489675841134325,UP,-3.1351755998839748,1.1626092868343485
Iqcj-schip1,0.009489675841134271,UP,-3.1351755998839774,1.1626092868343487
Rnf13,0.01942622469512164,DOWN,2.7343632435338834,-0.5411405834145883
Lrrc32,0.004837326418001497,UP,-3.5154121768698268,2.5483921590902177
Eif4a2,0.022625057935138533,DOWN,2.6490418229022996,-0.7704610097359864
Phlpp2,0.01750047755990135,UP,-2.792742604124637,0.9922506211958081
Uspl1,0.001501202155861535,DOWN,4.193796475551578,-0.4048530708660359
Acvr1,0.032497558536409385,DOWN,2.4456147546551774,-0.7697148819620343
Prg4,0.019109392289551264,DOWN,2.7435610772084376,-0.8959434409923275
